Type: car
Length, m: 4.80
Width, m: 1.60
Height, m: 1.26
Weight, kg: 1300
Frames: 46-136
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
3.939;-0.610;5.710;0.148;NoValue;-0.64597;0.76336;NoValue;NoValue;NoValue;NoValue
3.812;-0.420;5.716;0.206;NoValue;-0.62999;0.77660;NoValue;NoValue;NoValue;NoValue
3.687;-0.228;5.723;0.268;NoValue;-0.61401;0.78930;NoValue;NoValue;NoValue;NoValue
3.566;-0.034;5.729;0.335;NoValue;-0.59931;0.80051;NoValue;NoValue;NoValue;NoValue
3.449;0.164;5.736;0.406;NoValue;-0.58601;0.81031;NoValue;NoValue;NoValue;NoValue
3.336;0.364;5.746;0.480;NoValue;-0.57417;0.81873;NoValue;NoValue;NoValue;NoValue
3.228;0.568;5.761;0.556;NoValue;-0.56248;0.82681;NoValue;NoValue;NoValue;NoValue
3.124;0.774;5.779;0.643;NoValue;-0.55094;0.83454;NoValue;NoValue;NoValue;NoValue
3.022;0.981;5.802;0.740;NoValue;-0.53793;0.84299;NoValue;NoValue;NoValue;NoValue
2.923;1.189;5.830;0.847;NoValue;-0.52340;0.85209;2.85083;1.16195;-0.46947;0.88295
2.826;1.399;5.862;0.964;NoValue;-0.50732;0.86176;NoValue;NoValue;NoValue;NoValue
2.733;1.609;5.899;1.092;NoValue;-0.49092;0.87120;NoValue;NoValue;NoValue;NoValue
2.641;1.820;5.941;1.207;NoValue;-0.47418;0.88043;NoValue;NoValue;NoValue;NoValue
2.553;2.036;5.988;1.309;NoValue;-0.45858;0.88865;NoValue;NoValue;NoValue;NoValue
2.469;2.256;6.039;1.395;NoValue;-0.44414;0.89596;NoValue;NoValue;NoValue;NoValue
2.388;2.481;6.096;1.468;NoValue;-0.43087;0.90241;NoValue;NoValue;NoValue;NoValue
2.310;2.710;6.160;1.525;NoValue;-0.41755;0.90865;NoValue;NoValue;NoValue;NoValue
2.235;2.944;6.231;1.563;NoValue;-0.40422;0.91466;NoValue;NoValue;NoValue;NoValue
2.162;3.181;6.308;1.587;NoValue;-0.38968;0.92095;NoValue;NoValue;NoValue;NoValue
2.089;3.423;6.391;1.600;NoValue;-0.36661;0.93038;2.06644;3.32217;-0.34202;0.93969
2.017;3.667;6.471;1.596;NoValue;-0.34904;0.93711;NoValue;NoValue;NoValue;NoValue
1.945;3.916;6.546;1.576;NoValue;-0.33226;0.94319;NoValue;NoValue;NoValue;NoValue
1.875;4.168;6.617;1.534;NoValue;-0.31761;0.94822;NoValue;NoValue;NoValue;NoValue
1.806;4.424;6.683;1.471;NoValue;-0.30503;0.95234;NoValue;NoValue;NoValue;NoValue
1.738;4.684;6.745;1.388;NoValue;-0.29447;0.95566;NoValue;NoValue;NoValue;NoValue
1.672;4.949;6.800;1.286;NoValue;-0.28589;0.95826;NoValue;NoValue;NoValue;NoValue
1.607;5.217;6.852;1.165;NoValue;-0.27872;0.96037;NoValue;NoValue;NoValue;NoValue
1.544;5.490;6.901;1.049;NoValue;-0.27123;0.96251;NoValue;NoValue;NoValue;NoValue
1.481;5.764;6.945;0.947;NoValue;-0.25538;0.96684;NoValue;NoValue;NoValue;NoValue
1.419;6.038;6.984;0.838;NoValue;-0.24704;0.96901;1.40130;6.02060;-0.20791;0.97815
1.358;6.313;7.017;0.728;NoValue;-0.23941;0.97092;NoValue;NoValue;NoValue;NoValue
1.297;6.588;7.043;0.625;NoValue;-0.23289;0.97250;NoValue;NoValue;NoValue;NoValue
1.237;6.864;7.063;0.534;NoValue;-0.22741;0.97380;NoValue;NoValue;NoValue;NoValue
1.176;7.139;7.079;0.421;NoValue;-0.22291;0.97484;NoValue;NoValue;NoValue;NoValue
1.117;7.416;7.090;0.309;NoValue;-0.21936;0.97564;NoValue;NoValue;NoValue;NoValue
